Year,Actor,Film,Role(s)
,Louis Calhern,The Magnificent Yankee,Oliver Wendell Holmes
,William Holden,Sunset Boulevard,Joe Gillis
,James Stewart,Harvey,Elwood P. Dowd
,Spencer Tracy,Father of the Bride,Stanley T. Banks
"1951
(24th)",Humphrey Bogart,The African Queen,Charlie Allnut
,Marlon Brando,A Streetcar Named Desire,Stanley Kowalski
,Montgomery Clift,A Place in the Sun,George Eastman
,Arthur Kennedy,Bright Victory,Larry Nevins
,Fredric March,Death of a Salesman,Willy Loman
"1952
(25th)",Gary Cooper,High Noon,Marshal Will Kane
,Marlon Brando,Viva Zapata!,Emiliano Zapata
,Kirk Douglas,The Bad and the Beautiful,Jonathan Shields
,José Ferrer,Moulin Rouge,"Henri de Toulouse-Lautrec
Comte Alphonse de Toulouse-Lautrec"
,Alec Guinness,The Lavender Hill Mob,Holland
"1953
(26th)",William Holden,Stalag 17,Sgt. J.J. Sefton
,Marlon Brando,Julius Caesar,Mark Antony
,Richard Burton,The Robe,Marcellus Gallio
,Montgomery Clift,From Here to Eternity,Pvt. Robert E. Lee 'Prew' Prewitt
,Burt Lancaster,From Here to Eternity,1st Sgt. Milton Warden
"1954
(27th)",Marlon Brando,On the Waterfront,Terry Malloy
,Humphrey Bogart,The Caine Mutiny,Lt. Cmdr. Philip Francis Queeg
,Bing Crosby,The Country Girl,Frank Elgin
,James Mason,A Star Is Born,Norman Maine
,Dan O'Herlihy,Adventures of Robinson Crusoe,Robinson Crusoe
"1955
(28th)",Ernest Borgnine,Marty,Marty Piletti
,James Cagney,Love Me or Leave Me,Martin Snyder
,James Dean *[38],East of Eden,Cal Trask
,Frank Sinatra,The Man with the Golden Arm,Frankie Machine
,Spencer Tracy,Bad Day at Black Rock,John J. Macreedy
"1956
(29th)",Yul Brynner,The King and I,King Mongkut of Siam
,James Dean *[38],Giant,Jett Rink
,Kirk Douglas,Lust for Life,Vincent van Gogh
,Rock Hudson,Giant,"Jordan ""Bick"" Benedict Jr."
,Laurence Olivier,Richard III,King Richard III of England
"1957
(30th)",Alec Guinness,The Bridge on the River Kwai,"Lt. Colonel L. Nicholson, D.S.O."
,Marlon Brando,Sayonara,"Major Lloyd ""Ace"" Gruver, USAF"
,Anthony Franciosa,A Hatful of Rain,Polo Pope
,Charles Laughton,Witness for the Prosecution,Sir Wilfrid Robarts
,Anthony Quinn,Wild Is the Wind,Gino
"1958
(31st)",David Niven,Separate Tables,Major Angus Pollock
,Tony Curtis,The Defiant Ones,John 'Joker' Jackson
,Paul Newman,Cat on a Hot Tin Roof,Brick Pollitt
,Sidney Poitier,The Defiant Ones,Noah Cullen
,Spencer Tracy,The Old Man and the Sea,The Old Man
"1959
(32nd)",Charlton Heston,Ben-Hur,Judah Ben-Hur
,Laurence Harvey,Room at the Top,Joe Lampton
,Jack Lemmon,Some Like It Hot,Jerry / Daphne
,Paul Muni,The Last Angry Man,Dr. Sam Abelman
,James Stewart,Anatomy of a Murder,Paul Biegler
"1960
(33rd)",Burt Lancaster,Elmer Gantry,Elmer Gantry
,Trevor Howard,Sons and Lovers,Walter Morel
,Jack Lemmon,The Apartment,"C. C. ""Bud"" Baxter"
,Laurence Olivier,The Entertainer,Archie Rice
,Spencer Tracy,Inherit the Wind,Henry Drummond
"1961
(34th)",Maximilian Schell,Judgment at Nuremberg,Hans Rolfe
,Charles Boyer,Fanny,Cesar
,Paul Newman,The Hustler,Eddie Felson
,Spencer Tracy,Judgment at Nuremberg,Chief Judge Dan Haywood
,Stuart Whitman,The Mark,Jim Fuller
"1962
(35th)",Gregory Peck,To Kill a Mockingbird,Atticus Finch
,Burt Lancaster,Birdman of Alcatraz,Robert Franklin Stroud
,Jack Lemmon,Days of Wine and Roses,Joe Clay
,Marcello Mastroianni,Divorce Italian Style,Ferdinando Cefalù
,Peter O'Toole,Lawrence of Arabia,T. E. Lawrence
"1963
(36th)",Sidney Poitier,Lilies of the Field,Homer Smith
,Albert Finney,Tom Jones,Tom Jones
,Richard Harris,This Sporting Life,Frank Machin
,Rex Harrison,Cleopatra,Julius Caesar
,Paul Newman,Hud,Hud Bannon
"1964
(37th)",Rex Harrison,My Fair Lady,Professor Henry Higgins
,Richard Burton,Becket,Thomas Becket
,Peter O'Toole,Becket,King Henry II of England
,Anthony Quinn,Zorba the Greek,Alexis Zorba
,Peter Sellers,Dr. Strangelove,"Group Captain Lionel Mandrake
President Merkin Muffley
Dr. Strangelove"
"1965
(38th)",Lee Marvin,Cat Ballou,"Kid Shelleen
Tim Strawn"
,Richard Burton,The Spy Who Came in from the Cold,Alec Leamas
,Laurence Olivier,Othello,Othello
,Rod Steiger,The Pawnbroker,Sol Nazerman
,Oskar Werner,Ship of Fools,Willie Schumann
"1966
(39th)",Paul Scofield,A Man for All Seasons,Sir Thomas More
,Alan Arkin,"The Russians Are Coming, the Russians Are Coming",Lt. Rozanov
,Richard Burton,Who's Afraid of Virginia Woolf?,George
,Michael Caine,Alfie,Alfie Elkins
,Steve McQueen,The Sand Pebbles,Jake Holman
"1967
(40th)",Rod Steiger,In the Heat of the Night,Police Chief Bill Gillespie
,Warren Beatty,Bonnie and Clyde,Clyde Barrow
,Dustin Hoffman,The Graduate,Benjamin Braddock
,Paul Newman,Cool Hand Luke,"Lucas ""Cool Hand Luke"" Jackson"
,Spencer Tracy *[38],Guess Who's Coming to Dinner,Matt Drayton
"1968
(41st)",Cliff Robertson,Charly,Charly Gordon
,Alan Arkin,The Heart Is a Lonely Hunter,John Singer
,Alan Bates,The Fixer,Yakov Bok
,Ron Moody,Oliver!,Fagin
,Peter O'Toole,The Lion in Winter,King Henry II of England
"1969
(42nd)",John Wayne,True Grit,"Reuben ""Rooster"" Cogburn"
,Richard Burton,Anne of the Thousand Days,King Henry VIII of England
,Dustin Hoffman,Midnight Cowboy,"Enrico Salvatore ""Ratso"" ""Rico"" Rizzo"
,Peter O'Toole,"Goodbye, Mr. Chips",Arthur Chipping
,Jon Voight,Midnight Cowboy,Joe Buck
"1970
(43rd)",George C. Scott §[53],Patton,General George S. Patton Jr.
,Melvyn Douglas,I Never Sang for My Father,Tom Garrison
,James Earl Jones,The Great White Hope,Jack Jefferson
,Jack Nicholson,Five Easy Pieces,Robert Eroica Dupea
,Ryan O'Neal,Love Story,Oliver Barrett IV
"1971
(44th)",Gene Hackman,The French Connection,"Detective Jimmy ""Popeye"" Doyle"
,Peter Finch,Sunday Bloody Sunday,Dr. Daniel Hirsh
,Walter Matthau,Kotch,Joseph P. Kotcher
,George C. Scott,The Hospital,Dr. Herbert Bock
,Topol,Fiddler on the Roof,Tevye
"1972
(45th)",Marlon Brando §[53],The Godfather,Vito Corleone
,Michael Caine,Sleuth,Milo Tindle
,Laurence Olivier,Sleuth,Andrew Wyke
,Peter O'Toole,The Ruling Class,"Jack Gurney, 14th Earl of Gurney"
,Paul Winfield,Sounder,Nathan Lee Morgan
"1973
(46th)",Jack Lemmon,Save the Tiger,Harry Stoner
,Marlon Brando,Last Tango in Paris,Paul
,Jack Nicholson,The Last Detail,"Signalman First Class Billy L. ""Badass"" Buddusky"
,Al Pacino,Serpico,Frank Serpico
,Robert Redford,The Sting,"Johnny ""Kelly"" Hooker"
"1974
(47th)",Art Carney,Harry and Tonto,Harry Coombes
,Albert Finney,Murder on the Orient Express,Hercule Poirot
,Dustin Hoffman,Lenny,Lenny Bruce
,Jack Nicholson,Chinatown,"J. J. ""Jake"" Gittes"
,Al Pacino,The Godfather Part II,Michael Corleone
"1975
(48th)",Jack Nicholson,One Flew Over the Cuckoo's Nest,"Randle Patrick ""Mac"" McMurphy"
,Walter Matthau,The Sunshine Boys,Willy Clark
,Al Pacino,Dog Day Afternoon,Sonny Wortzik
,Maximilian Schell,The Man in the Glass Booth,Arthur Goldman
,James Whitmore,"Give 'em Hell, Harry!",Harry S. Truman
"1976
(49th)",Peter Finch ^[38],Network,Howard Beale
,Robert De Niro,Taxi Driver,Travis Bickle
,Giancarlo Giannini,Seven Beauties,Pasqualino Frafuso
,William Holden,Network,Max Schumacher
,Sylvester Stallone,Rocky,Rocky Balboa
"1977
(50th)",Richard Dreyfuss,The Goodbye Girl,Elliot Garfield
,Woody Allen,Annie Hall,Alvy Singer
,Richard Burton,Equus,Martin Dysart
,Marcello Mastroianni,A Special Day,Gabriele
,John Travolta,Saturday Night Fever,"Anthony ""Tony"" Manero"
"1978
(51st)",Jon Voight,Coming Home,Luke Martin
,Warren Beatty,Heaven Can Wait,Joe Pendleton
,Gary Busey,The Buddy Holly Story,Buddy Holly
,Robert De Niro,The Deer Hunter,Michael Vronsky
,Laurence Olivier,The Boys from Brazil,Ezra Lieberman
"1979
(52nd)",Dustin Hoffman,Kramer vs. Kramer,Ted Kramer
,Jack Lemmon,The China Syndrome,Jack Godell
,Al Pacino,...And Justice for All,Arthur Kirkland
,Roy Scheider,All That Jazz,Joe Gideon
,Peter Sellers,Being There,"Chance the Gardener, aka Chauncey Gardiner"
"1980
(53rd)",Robert De Niro,Raging Bull,Jake LaMotta
,Robert Duvall,The Great Santini,"Lieutenant Colonel Wilbur ""Bull"" Meechum"
,John Hurt,The Elephant Man,John Merrick
,Jack Lemmon,Tribute,Scottie Templeton
,Peter O'Toole,The Stunt Man,Eli Cross
"1981
(54th)",Henry Fonda,On Golden Pond,Norman Thayer Jr.
,Warren Beatty,Reds,"John Silas ""Jack"" Reed"
,Burt Lancaster,Atlantic City,Lou Pascal
,Dudley Moore,Arthur,Arthur Bach
,Paul Newman,Absence of Malice,Michael Colin Gallagher
"1982
(55th)",Ben Kingsley,Gandhi,Mohandas Karamchand Gandhi
