Year,Actor,Film,Role(s)
,Walter Huston,Yankee Doodle Dandy,Jerry Cohan
,Frank Morgan,Tortilla Flat,The Pirate
,Henry Travers,Mrs. Miniver,James Ballard
"1943
(16th)",Charles Coburn,The More the Merrier,Benjamin Dingle
,Charles Bickford,The Song of Bernadette,Father Peyramale
,J. Carrol Naish,Sahara,Giuseppe
,Claude Rains,Casablanca,Capt. Louis Renault
,Akim Tamiroff,For Whom the Bell Tolls,Pablo
"1944
(17th)",Barry Fitzgerald,Going My Way,Father Fitzgibbon
,Hume Cronyn,The Seventh Cross,Paul Roeder
,Claude Rains,Mr. Skeffington,Job Skeffington
,Clifton Webb,Laura,Waldo Lydecker
,Monty Woolley,Since You Went Away,Colonel William G. Smollett
"1945
(18th)",James Dunn,A Tree Grows in Brooklyn,Johnny Nolan
,Michael Chekhov,Spellbound,"Dr. Alexander ""Alex"" Brulov"
,John Dall,The Corn Is Green,Morgan Evans
,Robert Mitchum,The Story of G.I. Joe,Lt. Capt. Bill Walker
,J. Carrol Naish,A Medal for Benny,Charley Martin
"1946
(19th)",Harold Russell,The Best Years of Our Lives,Homer Parrish
,Charles Coburn,The Green Years,Alexander Gow
,William Demarest,The Jolson Story,Steve Martin
,Claude Rains,Notorious,Alexander Sebastian
,Clifton Webb,The Razor's Edge,Elliott Templeton
"1947
(20th)",Edmund Gwenn,Miracle on 34th Street,Kris Kringle
,Charles Bickford,The Farmer's Daughter,Joseph Clancy
,Thomas Gomez,Ride the Pink Horse,Pancho
,Robert Ryan,Crossfire,Montgomery
,Richard Widmark,Kiss of Death,Tommy Udo
"1948
(21st)",Walter Huston,The Treasure of the Sierra Madre,Howard
,Charles Bickford,Johnny Belinda,Black McDonald
,José Ferrer,Joan of Arc,"The Dauphin, Charles VII, later King of France"
,Oskar Homolka,I Remember Mama,Uncle Chris Halverson
,Cecil Kellaway,The Luck of the Irish,Horace (A Leprechaun)
"1949
(22nd)",Dean Jagger,Twelve O'Clock High,Major Harvey Stovall
,John Ireland,All the King's Men,Jack Burden
,Arthur Kennedy,Champion,Connie Kelly
,Ralph Richardson,The Heiress,Dr. Austin Sloper
,James Whitmore,Battleground,Sgt. Kinnie
"1950
(23rd)",George Sanders,All About Eve,Addison De Witt
,Jeff Chandler,Broken Arrow,Cochise
,Edmund Gwenn,Mister 880,"""Skipper"" Miller"
,Sam Jaffe,The Asphalt Jungle,Dr. Erwin Riedenschneider
,Erich von Stroheim,Sunset Boulevard,Max von Meyerling
"1951
(24th)",Karl Malden,A Streetcar Named Desire,"Harold ""Mitch"" Mitchell"
,Leo Genn,Quo Vadis,Petronius
,Kevin McCarthy,Death of a Salesman,Biff Loman
,Peter Ustinov,Quo Vadis,Nero
,Gig Young,Come Fill the Cup,Boyd Copeland
"1952
(25th)",Anthony Quinn,Viva Zapata!,Eufemio Zapata
,Richard Burton,My Cousin Rachel,Philip Ashley
,Arthur Hunnicutt,The Big Sky,"Zeb Calloway
Narrator"
,Victor McLaglen,The Quiet Man,"Will ""Red"" Danaher"
,Jack Palance,Sudden Fear,Lester Blaine
"1953
(26th)",Frank Sinatra,From Here to Eternity,Pvt. Angelo Maggio
,Eddie Albert,Roman Holiday,Irving Radovich
,Brandon deWilde,Shane,Joey Starrett
,Jack Palance,Shane,Jack Wilson
,Robert Strauss,Stalag 17,"Sgt. Stanislas ""Animal"" Kasava"
"1954
(27th)",Edmond O'Brien,The Barefoot Contessa,Oscar Muldoon
,Lee J. Cobb,On the Waterfront,Johnny Friendly
,Karl Malden,On the Waterfront,Father Barry
,Rod Steiger,On the Waterfront,"Charley ""The Gent"" Malloy"
,Tom Tully,The Caine Mutiny,Commander DeVriess
"1955
(28th)",Jack Lemmon,Mister Roberts,Ens. Frank Thurlowe Pulver
,Arthur Kennedy,Trial,Barney Castle
,Joe Mantell,Marty,Angie
,Sal Mineo,Rebel Without a Cause,"John ""Plato"" Crawford"
,Arthur O'Connell,Picnic,Howard Bevans
"1956
(29th)",Anthony Quinn,Lust for Life,Paul Gauguin
,Don Murray,Bus Stop,"Beauregard ""Bo"" Decker"
,Anthony Perkins,Friendly Persuasion,Josh Birdwell
,Mickey Rooney,The Bold and the Brave,Dooley
,Robert Stack,Written on the Wind,Kyle Hadley
"1957
(30th)",Red Buttons,Sayonara,Airman Joe Kelly
,Vittorio De Sica,A Farewell to Arms,Major Alessandro Rinaldi
,Sessue Hayakawa,The Bridge on the River Kwai,Colonel Saito
,Arthur Kennedy,Peyton Place,Lucas Cross
,Russ Tamblyn,Peyton Place,Norman Page
"1958
(31st)",Burl Ives,The Big Country,Rufus Hannassey
,Theodore Bikel,The Defiant Ones,Sheriff Max Muller
,Lee J. Cobb,The Brothers Karamazov,Fyodor Karamazov
,Arthur Kennedy,Some Came Running,Frank Hirsh
,Gig Young,Teacher's Pet,Dr. Hugo Pine
"1959
(32nd)",Hugh Griffith,Ben-Hur,Sheik Ilderim
,Arthur O'Connell,Anatomy of a Murder,Parnell Emmett McCarthy
,George C. Scott,Anatomy of a Murder,Asst. State Atty. Gen. Claude Dancer
,Robert Vaughn,The Young Philadelphians,"Chester ""Chet"" Gwynn"
,Ed Wynn,The Diary of Anne Frank,Albert Dussell
"1960
(33rd)",Peter Ustinov,Spartacus,Lentulus Batiatus
,Peter Falk,"Murder, Inc.","Abe ""Kid Twist"" Reles"
,Jack Kruschen,The Apartment,Dr. Dreyfuss
,Sal Mineo,Exodus,Dov Landau
,Chill Wills,The Alamo,Beekeeper
"1961
(34th)",George Chakiris,West Side Story,Bernardo Nuñez
,Montgomery Clift,Judgment at Nuremberg,Rudolph Petersen
,Peter Falk,Pocketful of Miracles,Joy Boy
,Jackie Gleason,The Hustler,Minnesota Fats
,George C. Scott [A],The Hustler,Bert Gordon
"1962
(35th)",Ed Begley,Sweet Bird of Youth,"Tom ""Boss"" Finley"
,Victor Buono,What Ever Happened to Baby Jane?,Edwin Flagg
,Telly Savalas,Birdman of Alcatraz,Feto Gomez
,Omar Sharif,Lawrence of Arabia,Sherif Ali ibn el Kharish
,Terence Stamp,Billy Budd,Billy Budd
"1963
(36th)",Melvyn Douglas,Hud,Homer Bannon
,Nick Adams,Twilight of Honor,Ben Brown
,Bobby Darin,"Captain Newman, M.D.",Corporal Jim Tompkins
,Hugh Griffith,Tom Jones,Squire Western
,John Huston,The Cardinal,Cardinal Glennon
"1964
(37th)",Peter Ustinov,Topkapi,Arthur Simon Simpson
,John Gielgud,Becket,Louis VII of France
,Stanley Holloway,My Fair Lady,Alfred Doolittle
,Edmond O'Brien,Seven Days in May,Senator Raymond Clark
,Lee Tracy,The Best Man,President Art Hockstader
"1965
(38th)",Martin Balsam,A Thousand Clowns,Arnold Burns
,Ian Bannen,The Flight of the Phoenix,"""Ratbags"" Crow"
,Tom Courtenay,Doctor Zhivago,Pasha Antipov (Strelnikov)
,Michael Dunn,Ship of Fools,Carl Glocken
,Frank Finlay,Othello,Iago
"1966
(39th)",Walter Matthau,The Fortune Cookie,Willie Gingrich
,Mako,The Sand Pebbles,Po-han
,James Mason,Georgy Girl,James Leamington
,George Segal,Who's Afraid of Virginia Woolf?,Nick
,Robert Shaw,A Man for All Seasons,Henry VIII of England
"1967
(40th)",George Kennedy,Cool Hand Luke,Dragline
,John Cassavetes,The Dirty Dozen,Victor P. Franko
,Gene Hackman,Bonnie and Clyde,Buck Barrow
,Cecil Kellaway,Guess Who's Coming to Dinner,Monsignor Mike Ryan
,Michael J. Pollard,Bonnie and Clyde,C.W. Moss
"1968
(41st)",Jack Albertson,The Subject Was Roses,John Cleary
,Seymour Cassel,Faces,Chet
,Daniel Massey,Star!,Noël Coward
,Jack Wild,Oliver!,The Artful Dodger
,Gene Wilder,The Producers,Leo Bloom
"1969
(42nd)",Gig Young,"They Shoot Horses, Don't They?",Rocky Graver
,Rupert Crosse,The Reivers,Ned McCaslin
,Elliott Gould,Bob & Carol & Ted & Alice,Ted Henderson
,Jack Nicholson,Easy Rider,George Hanson
,Anthony Quayle,Anne of the Thousand Days,Cardinal Wolsey
"1970
(43rd)",John Mills,Ryan's Daughter,Michael
,Richard S. Castellano,Lovers and Other Strangers,Frank Vecchio
,Chief Dan George,Little Big Man,Old Lodge Skins
,Gene Hackman,I Never Sang for My Father,Gene Garrison
,John Marley,Love Story,Phil Cavalleri
"1971
(44th)",Ben Johnson,The Last Picture Show,Sam the Lion
,Jeff Bridges,The Last Picture Show,Duane Jackson
,Leonard Frey,Fiddler on the Roof,Motel Kamzoil
,Richard Jaeckel,Sometimes a Great Notion,Joe Ben Stamper
,Roy Scheider,The French Connection,"Det. Buddy ""Cloudy"" Russo"
"1972
(45th)",Joel Grey,Cabaret,Master of Ceremonies
,Eddie Albert,The Heartbreak Kid,Mr. Corcoran
,James Caan,The Godfather,Sonny Corleone
,Robert Duvall,The Godfather,Tom Hagen
,Al Pacino,The Godfather,Michael Corleone
"1973
(46th)",John Houseman,The Paper Chase,"Charles W. Kingsfield, Jr."
,Vincent Gardenia,Bang the Drum Slowly,Dutch Schnell
,Jack Gilford,Save the Tiger,Phil Greene
,Jason Miller,The Exorcist,Father Damien Karras
,Randy Quaid,The Last Detail,Larry Meadows
"1974
(47th)",Robert De Niro,The Godfather Part II,Vito Corleone
,Fred Astaire,The Towering Inferno,Harlee Claiborne
,Jeff Bridges,Thunderbolt and Lightfoot,Lightfoot
,Michael V. Gazzo,The Godfather Part II,Frank Pentangeli
,Lee Strasberg,The Godfather Part II,Hyman Roth
"1975
(48th)",George Burns,The Sunshine Boys,Al Lewis
,Brad Dourif,One Flew Over the Cuckoo's Nest,Billy Bibbit
,Burgess Meredith,The Day of the Locust,Harry Greener
,Chris Sarandon,Dog Day Afternoon,Leon Shermer
,Jack Warden,Shampoo,Lester Karpf
"1976
(49th)",Jason Robards,All the President's Men,Ben Bradlee
,Ned Beatty,Network,Arthur Jensen
,Burgess Meredith,Rocky,Mickey Goldmill
,Laurence Olivier,Marathon Man,Dr. Christian Szell
,Burt Young,Rocky,Paulie Pennino
"1977
(50th)",Jason Robards,Julia,Dashiell Hammett
,Mikhail Baryshnikov,The Turning Point,Yuri Kopeikine
,Peter Firth,Equus,Alan Strang
,Alec Guinness,Star Wars,Obi-Wan Kenobi
,Maximilian Schell,Julia,Johann
"1978
(51st)",Christopher Walken,The Deer Hunter,"Nikonar ""Nick"" Chevotarevich"
,Bruce Dern,Coming Home,Capt. Bob Hyde
,Richard Farnsworth,Comes a Horseman,Dodger
,John Hurt,Midnight Express,Max
,Jack Warden,Heaven Can Wait,Max Corkle
"1979
(52nd)",Melvyn Douglas,Being There,Benjamin Turnbull Rand
,Robert Duvall,Apocalypse Now,Lt. Col. Bill Kilgore
,Frederic Forrest,The Rose,Houston Dyer
,Justin Henry,Kramer vs. Kramer,Billy Kramer
,Mickey Rooney,The Black Stallion,Henry Dailey
"1980
(53rd)",Timothy Hutton,Ordinary People,Conrad Jarrett
,Judd Hirsch,Ordinary People,Dr. Tyrone C. Berger
,Michael O'Keefe,The Great Santini,Ben Meechum
,Joe Pesci,Raging Bull,Joey LaMotta
,Jason Robards,Melvin and Howard,Howard Hughes
"1981
(54th)",John Gielgud,Arthur,Hobson
,James Coco,Only When I Laugh,Jimmy Perry
,Ian Holm,Chariots of Fire,Sam Mussabini
,Jack Nicholson,Reds,Eugene O'Neill
,Howard Rollins,Ragtime,"Coalhouse Walker, Jr."
"1982
(55th)","Louis Gossett, Jr.",An Officer and a Gentleman,Gunnery Sgt. Emil Foley
,Charles Durning,The Best Little Whorehouse in Texas,Governor
,John Lithgow,The World According to Garp,Roberta Muldoon
,James Mason,The Verdict,Ed Concannon
,Robert Preston,Victor Victoria,"Carroll ""Toddy"" Todd"
"1983
(56th)",Jack Nicholson,Terms of Endearment,Garrett Breedlove
,Charles Durning,To Be or Not to Be,Colonel Erhardt
,John Lithgow,Terms of Endearment,Sam Burns
,Sam Shepard,The Right Stuff,Chuck Yeager
,Rip Torn,Cross Creek,Marsh Turner
"1984
(57th)",Haing S. Ngor,The Killing Fields,Dith Pran
,Adolph Caesar,A Soldier's Story,Sgt. Waters
,John Malkovich,Places in the Heart,Mr. Will
,Pat Morita,The Karate Kid,Kesuke Miyagi
,Ralph Richardson *[58],"Greystoke: The Legend of Tarzan, Lord of the Apes",The Sixth Earl of Greystoke
"1985
(58th)",Don Ameche,Cocoon,Arthur Selwyn
,Klaus Maria Brandauer,Out of Africa,Baron Bror von Blixen-Finecke
,William Hickey,Prizzi's Honor,Don Corrado Prizzi
,Robert Loggia,Jagged Edge,Sam Ransom
,Eric Roberts,Runaway Train,Buck
"1986
(59th)",Michael Caine,Hannah and Her Sisters,Elliott Daniels
,Tom Berenger,Platoon,Sgt. Bob Barnes
,Willem Dafoe,Platoon,Sgt. Elias Grodin
,Denholm Elliott,A Room with a View,Mr. Emerson
,Dennis Hopper,Hoosiers,"Wilbur ""Shooter"" Flatch"
"1987
(60th)",Sean Connery,The Untouchables,Jim Malone
,Albert Brooks,Broadcast News,Aaron Altman
,Morgan Freeman,Street Smart,"Leo ""Fast Black"" Smalls, Jr."
,Vincent Gardenia,Moonstruck,Cosmo Castorini
,Denzel Washington,Cry Freedom,Steve Biko
"1988
(61st)",Kevin Kline,A Fish Called Wanda,Otto West
,Alec Guinness,Little Dorrit,William Dorrit
,Martin Landau,Tucker: The Man and His Dream,Abe Karatz
,River Phoenix,Running on Empty,Danny Pope
,Dean Stockwell,Married to the Mob,"Tony ""The Tiger"" Russo"
"1989
(62nd)",Denzel Washington,Glory,Pvt. Silas Trip
,Danny Aiello,Do the Right Thing,Sal Frangione
,Dan Aykroyd,Driving Miss Daisy,Boolie Werthan
,Marlon Brando,A Dry White Season,Ian Mackenzie
,Martin Landau,Crimes and Misdemeanors,Judah Rosenthal
"1990
(63rd)",Joe Pesci,Goodfellas,Tommy DeVito
,Bruce Davison,Longtime Companion,David
,Andy García,The Godfather Part III,Vincent Mancini
,Graham Greene,Dances with Wolves,Kicking Bird
,Al Pacino,Dick Tracy,"Alphonse ""Big Boy"" Caprice"
"1991
(64th)",Jack Palance,City Slickers,Curly Washburn
,Tommy Lee Jones,JFK,Clay Shaw
,Harvey Keitel,Bugsy,Mickey Cohen
,Ben Kingsley,Bugsy,Meyer Lansky
,Michael Lerner,Barton Fink,Jack Lipnick
"1992
(65th)",Gene Hackman,Unforgiven,Little Bill Daggett
,Jaye Davidson,The Crying Game,Dil
,Jack Nicholson,A Few Good Men,Colonel Nathan R. Jessep
,Al Pacino,Glengarry Glen Ross,"Richard ""Ricky"" Roma"
,David Paymer,Mr. Saturday Night,Stan Young
"1993
(66th)",Tommy Lee Jones,The Fugitive,U.S. Marshal Samuel Gerard
,Leonardo DiCaprio,What's Eating Gilbert Grape,Arnie Grape
,Ralph Fiennes,Schindler's List,Amon Göeth
,John Malkovich,In the Line of Fire,Mitch Leary
,Pete Postlethwaite,In the Name of the Father,Giuseppe Conlon
"1994
(67th)",Martin Landau,Ed Wood,Béla Lugosi
,Samuel L. Jackson,Pulp Fiction,Jules Winnfield
,Chazz Palminteri,Bullets over Broadway,Cheech
,Paul Scofield,Quiz Show,Mark Van Doren
,Gary Sinise,Forrest Gump,Lt. Dan Taylor
"1995
(68th)",Kevin Spacey,The Usual Suspects,"Roger ""Verbal"" Kint"
,James Cromwell,Babe,Farmer Arthur Hoggett
,Ed Harris,Apollo 13,Gene Kranz
,Brad Pitt,12 Monkeys,Jeffrey Goines
,Tim Roth,Rob Roy,Archibald Cunningham
"1996
(69th)",Cuba Gooding Jr.,Jerry Maguire,Rod Tidwell
,William H. Macy,Fargo,Jerry Lundegaard
,Armin Mueller-Stahl,Shine,Peter Helfgott
,Edward Norton,Primal Fear,Aaron Stampler
,James Woods,Ghosts of Mississippi,Byron De La Beckwith
"1997
(70th)",Robin Williams,Good Will Hunting,Dr. Sean Maguire
,Robert Forster,Jackie Brown,Max Cherry
,Anthony Hopkins,Amistad,John Quincy Adams
,Greg Kinnear,As Good as It Gets,Simon Bishop
,Burt Reynolds,Boogie Nights,Jack Horner
"1998
(71st)",James Coburn,Affliction,Glen Whitehouse
,Robert Duvall,A Civil Action,Jerome Facher
,Ed Harris,The Truman Show,Christof
,Geoffrey Rush,Shakespeare in Love,Philip Henslowe
,Billy Bob Thornton,A Simple Plan,Jacob Mitchell
"1999
(72nd)",Michael Caine,The Cider House Rules,Dr. Wilbur Larch
,Tom Cruise,Magnolia,Frank T.J. Mackey
,Michael Clarke Duncan,The Green Mile,John Coffey
,Jude Law,The Talented Mr. Ripley,Dickie Greenleaf
,Haley Joel Osment,The Sixth Sense,Cole Sear
"2000
(73rd)",Benicio del Toro,Traffic,Javier Rodriguez
,Jeff Bridges,The Contender,Jackson Evans
,Willem Dafoe,Shadow of the Vampire,Max Schreck
,Albert Finney,Erin Brockovich,Edward L. Masry
,Joaquin Phoenix,Gladiator,Commodus
"2001
(74th)",Jim Broadbent,Iris,John Bayley
,Ethan Hawke,Training Day,Officer Jake Hoyt
,Ben Kingsley,Sexy Beast,Don Logan
,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,Gandalf the Grey
,Jon Voight,Ali,Howard Cosell
"2002
(75th)",Chris Cooper,Adaptation.,John Laroche
,Ed Harris,The Hours,"Richard ""Richie"" Brown"
,Paul Newman,Road to Perdition,John Rooney
,John C. Reilly,Chicago,Amos Hart
,Christopher Walken,Catch Me If You Can,"Frank Abagnale, Sr."
"2003
(76th)",Tim Robbins,Mystic River,Dave Boyle
,Alec Baldwin,The Cooler,Shelly Kaplow
,Benicio del Toro,21 Grams,Jack Jordan
,Djimon Hounsou,In America,Mateo
,Ken Watanabe,The Last Samurai,Lord Moritsugu Katsumoto
"2004
(77th)",Morgan Freeman,Million Dollar Baby,"Eddie ""Scrap-Iron"" Dupris"
,Alan Alda,The Aviator,Owen Brewster
,Thomas Haden Church,Sideways,Jack Cole
,Jamie Foxx,Collateral,Max Durocher
,Clive Owen,Closer,Larry Gray
"2005
(78th)",George Clooney,Syriana,Robert Barnes
,Matt Dillon,Crash,Officer John Ryan
,Paul Giamatti,Cinderella Man,Joe Gould
,Jake Gyllenhaal,Brokeback Mountain,Jack Twist
,William Hurt,A History of Violence,Richie Cusack
"2006
(79th)",Alan Arkin,Little Miss Sunshine,Edwin Hoover
,Jackie Earle Haley,Little Children,Ronald James McGorvey
,Djimon Hounsou,Blood Diamond,Solomon Vandy
,Eddie Murphy,Dreamgirls,"James ""Thunder"" Early"
,Mark Wahlberg,The Departed,Staff Sgt. Sean Dignam
"2007
(80th)",Javier Bardem,No Country for Old Men,Anton Chigurh
,Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,Robert Ford
,Philip Seymour Hoffman,Charlie Wilson's War,Gust Avrakotos
,Hal Holbrook,Into the Wild,Ron Franz
,Tom Wilkinson,Michael Clayton,Arthur Edens
"2008
(81st)",Heath Ledger ^[8],The Dark Knight,The Joker
,Josh Brolin,Milk,Dan White
,Robert Downey Jr.,Tropic Thunder,Kirk Lazarus
,Philip Seymour Hoffman,Doubt,Father Brendan Flynn
,Michael Shannon,Revolutionary Road,"John Givings, Jr."
"2009
(82nd)",Christoph Waltz,Inglourious Basterds,Col. Hans Landa
,Matt Damon,Invictus,Francois Pienaar
,Woody Harrelson,The Messenger,Capt. Tony Stone
,Christopher Plummer,The Last Station,Leo Tolstoy
,Stanley Tucci,The Lovely Bones,George Harvey
"2010
(83rd)",Christian Bale,The Fighter,Dicky Eklund
,John Hawkes,Winter's Bone,Teardrop Dolly
,Jeremy Renner,The Town,"James ""Jem"" Coughlin"
,Mark Ruffalo,The Kids Are All Right,Paul Hatfield
,Geoffrey Rush,The King's Speech,Lionel Logue
"2011
(84th)",Christopher Plummer,Beginners,Hal Fields
,Kenneth Branagh,My Week with Marilyn,Laurence Olivier
,Jonah Hill,Moneyball,Peter Brand
,Nick Nolte,Warrior,Paddy Conlon
,Max von Sydow,Extremely Loud and Incredibly Close,The Renter
"2012
(85th)",Christoph Waltz,Django Unchained,Dr. King Schultz
,Alan Arkin,Argo,Lester Siegel
,Robert De Niro,Silver Linings Playbook,"Patrizio ""Pat"" Solitano, Sr."
,Philip Seymour Hoffman,The Master,Lancaster Dodd
,Tommy Lee Jones,Lincoln,Thaddeus Stevens
"2013
(86th)",Jared Leto,Dallas Buyers Club,Rayon
,Barkhad Abdi,Captain Phillips,Abduwali Muse
,Bradley Cooper,American Hustle,"Richard ""Richie"" DiMaso"
,Michael Fassbender,12 Years a Slave,Edwin Epps
,Jonah Hill,The Wolf of Wall Street,Donnie Azoff
"2014
(87th)",J. K. Simmons,Whiplash,Terence Fletcher
,Robert Duvall,The Judge,Joseph Palmer
,Ethan Hawke,Boyhood,"Mason Evans, Sr."
,Edward Norton,Birdman,Mike Shiner
,Mark Ruffalo,Foxcatcher,David Schultz
"2015
(88th)",Mark Rylance,Bridge of Spies,Rudolf Abel
,Christian Bale,The Big Short,Michael Burry
,Tom Hardy,The Revenant,John Fitzgerald
,Mark Ruffalo,Spotlight,Michael Rezendes
,Sylvester Stallone,Creed,Rocky Balboa
"2016
(88th)",Mahershala Ali,Moonlight,Juan
,Jeff Bridges,Hell or High Water,Marcus Hamilton
,Lucas Hedges,Manchester by the Sea,Patrick Chandler
,Dev Patel,Lion,Saroo Brierley
,Michael Shannon,Nocturnal Animals,Bobby Andes
"1936
(9th)",Gale Sondergaard,Anthony Adverse,Faith Paleologus
,Beulah Bondi,The Gorgeous Hussy,Rachel Jackson
,Alice Brady,My Man Godfrey,Angelica Bullock
,Bonita Granville,These Three,Mary Tilford
,Maria Ouspenskaya,Dodsworth,Baroness von Obersdorf
"1937
(10th)",Alice Brady,In Old Chicago,Molly O'Leary
,Andrea Leeds,Stage Door,Kay Hamilton
,Anne Shirley,Stella Dallas,"Laurel ""Lollie"" Dallas"
,Claire Trevor,Dead End,Francey
,May Whitty,Night Must Fall,Mrs. Bramson
"1938
(11th)",Fay Bainter,Jezebel,Belle Massey
,Beulah Bondi,Of Human Hearts,Mary Wilkins
,Billie Burke,Merrily We Live,Emily Kilbourne
,Spring Byington,You Can't Take It with You,"Penelope ""Penny"" Vanderhof-Sycamore"
,Miliza Korjus,The Great Waltz,Carla Donner
"1939
(12th)",Hattie McDaniel,Gone with the Wind,Mammy
,Olivia de Havilland,Gone with the Wind,Melanie Hamilton
,Geraldine Fitzgerald,Wuthering Heights,Isabella Linton
,Edna May Oliver,Drums Along the Mohawk,Sarah McKlennar
,Maria Ouspenskaya,Love Affair,Grandmother Janou
"1940
(13th)",Jane Darwell,The Grapes of Wrath,Ma Joad
,Judith Anderson,Rebecca,Mrs. Danvers
,Ruth Hussey,The Philadelphia Story,Elizabeth Imbrie
,Barbara O'Neil,"All This, and Heaven Too","Francoise, Duchess de Praslin"
,Marjorie Rambeau,Primrose Path,Mamie Adams
"1941
(14th)",Mary Astor,The Great Lie,Sandra Kovak
,Sara Allgood,How Green Was My Valley,Beth Morgan
,Patricia Collinge,The Little Foxes,Birdie Bagtry-Hubbard
,Teresa Wright,,Alexandra Giddens
,Margaret Wycherly,Sergeant York,Mary Brooks-York
"1942
(15th)",Teresa Wright,Mrs. Miniver,Carol Beldon
,Gladys Cooper,"Now, Voyager",Mrs. Vale
,Agnes Moorehead,The Magnificent Ambersons,Fanny Minafer
,Susan Peters,Random Harvest,Kitty Chilcet
,May Whitty,Mrs. Miniver,Lady Beldon
"1943
(16th)",Katina Paxinou,For Whom the Bell Tolls,Pilar
,Gladys Cooper,The Song of Bernadette,Marie Therese Vauzou
,Paulette Goddard,So Proudly We Hail!,Joan O'Doul
,Anne Revere,The Song of Bernadette,Louise Casterot-Soubirous
,Lucile Watson,Watch on the Rhine,Fanny Farrelly
"1944
(17th)",Ethel Barrymore,None but the Lonely Heart,Ma Mott
,Jennifer Jones,Since You Went Away,Jane Deborah Hilton
,Angela Lansbury,Gaslight,Nancy Oliver
,Aline MacMahon,Dragon Seed,Ling Tan's Wife
,Agnes Moorehead,Mrs. Parkington,Aspasia Conti
"1945
(18th)",Anne Revere,National Velvet,Araminty Brown
,Eve Arden,Mildred Pierce,Ida Corwin
,Ann Blyth,,Veda Pierce
,Angela Lansbury,The Picture of Dorian Gray,Sibyl Vane
,Joan Lorring,The Corn is Green,Bessie Watty
"1946
(19th)",Anne Baxter,The Razor's Edge,Sophie Nelson-MacDonald
,Ethel Barrymore,The Spiral Staircase,Mrs. Warren
,Lillian Gish,Duel in the Sun,Laura Belle McCanles
,Flora Robson,Saratoga Trunk,Angelique Buiton
,Gale Sondergaard,Anna and the King of Siam,Lady Thiang
"1947
(20th)",Celeste Holm,Gentleman's Agreement,Anne Dettrey
,Ethel Barrymore,The Paradine Case,Sophie Horfield
,Gloria Grahame,Crossfire,Ginny Tremaine
,Marjorie Main,The Egg and I,Ma Kettle
,Anne Revere,Gentleman's Agreement,Mrs. Green
"1948
(21st)",Claire Trevor,Key Largo,Gaye Dawn
,Barbara Bel Geddes,I Remember Mama,Katrin Hanson
,Ellen Corby,,Trina
,Agnes Moorehead,Johnny Belinda,Aggie McDonald
,Jean Simmons,Hamlet,Ophelia
"1949
(22nd)",Mercedes McCambridge,All the King's Men,Sadie Burke
,Ethel Barrymore,Pinky,Miss Em
,Celeste Holm,Come to the Stable,Sister Scholastica
,Elsa Lanchester,,Amelia Potts
,Ethel Waters,Pinky,Dicey Johnson
"1950
(23rd)",Josephine Hull,Harvey,Veta Louise Simmons
,Hope Emerson,Caged,Evelyn Harper
,Celeste Holm,All About Eve,Karen Richards
,Nancy Olson,Sunset Boulevard,Betty Schaefer
,Thelma Ritter,All About Eve,Birdie Kumen
"1951
(24th)",Kim Hunter,A Streetcar Named Desire,Stella Kowalski
,Joan Blondell,The Blue Veil,Annie Rawlins
,Mildred Dunnock,Death of a Salesman,Linda Loman
,Lee Grant,Detective Story,The Shoplifter
,Thelma Ritter,The Mating Season,Ellen McNulty
"1952
(25th)",Gloria Grahame,The Bad and the Beautiful,Rosemary Bartlow
,Jean Hagen,Singin' in the Rain,Lina Lamont
,Colette Marchand,Moulin Rouge,Marie Charlet
,Terry Moore,"Come Back, Little Sheba",Marie Buckholder
,Thelma Ritter,With a Song in My Heart,Clancy
"1953
(26th)",Donna Reed,From Here to Eternity,Alma Burke/Lorene
,Grace Kelly,Mogambo,Linda Nordley
,Geraldine Page,Hondo,Angie Lowe
,Marjorie Rambeau,Torch Song,Mrs. Stewart
,Thelma Ritter,Pickup on South Street,Moe Williams
"1954
(27th)",Eva Marie Saint,On the Waterfront,Edie Doyle
,Nina Foch,Executive Suite,Erica Martin
,Katy Jurado,Broken Lance,Señora Devereaux
,Jan Sterling,The High and the Mighty,Sally McKee
,Claire Trevor,,May Holst
"1955
(28th)",Jo Van Fleet,East of Eden,Cathy Ames/Kate Trask
,Betsy Blair,Marty,Clara Snyder
,Peggy Lee,Pete Kelly's Blues,Rose Hopkins
,Marisa Pavan,The Rose Tattoo,Rosa Delle Rose
,Natalie Wood,Rebel Without a Cause,Judy
"1956
(29th)",Dorothy Malone,Written on the Wind,Marylee Hadley
,Mildred Dunnock,Baby Doll,Rose Comfort
,Eileen Heckart,The Bad Seed,Hortense Daigle
,Mercedes McCambridge,Giant,Luz Benedict
,Patty McCormack,The Bad Seed,Rhoda Penmark
"1957
(30th)",Miyoshi Umeki,Sayonara,Katsumi Kelly
,Carolyn Jones,The Bachelor Party,The Existentialist
,Elsa Lanchester,Witness for the Prosecution,Miss Plimsoll
,Hope Lange,Peyton Place,Selena Cross
,Diane Varsi,,Allison MacKenzie
"1958
(31st)",Wendy Hiller,Separate Tables,Pat Cooper
,Peggy Cass,Auntie Mame,Agnes Gooch
,Martha Hyer,Some Came Running,Gwen French
,Maureen Stapleton,Lonelyhearts,Fay Doyle
